# x,y downsampled
7.577,-279.083
9.278,-276.024
10.976,-272.964
12.671,-269.902
14.374,-266.844
16.065,-263.779
17.766,-260.721
19.464,-257.660
21.174,-254.606
22.874,-251.547
24.568,-248.484
26.261,-245.421
27.959,-242.360
29.644,-239.292
31.341,-236.231
33.021,-233.161
34.651,-230.064
36.192,-226.921
37.660,-223.744
39.039,-220.528
40.366,-217.290
41.625,-214.024
42.806,-210.729
43.922,-207.412
44.949,-204.066
45.896,-200.697
46.747,-197.302
47.528,-193.890
48.223,-190.460
48.854,-187.018
49.419,-183.564
49.901,-180.097
50.295,-176.620
50.617,-173.135
50.819,-169.641
50.960,-166.144
51.037,-162.645
51.039,-159.145
51.028,-155.645
51.008,-152.562
51.007,-149.062
51.016,-145.562
51.026,-142.062
51.036,-138.562
51.046,-135.062
51.057,-131.562
51.067,-128.062
51.071,-124.865
51.078,-121.365
51.075,-117.865
51.054,-114.365
51.033,-110.865
51.017,-107.365
50.993,-103.865
50.961,-100.366
50.931,-96.866
50.914,-93.366
50.893,-89.866
50.871,-86.366
50.847,-82.866
50.820,-79.366
50.797,-75.866
50.782,-72.366
50.746,-68.866
50.716,-65.367
50.678,-61.867
50.654,-58.367
50.623,-54.867
50.589,-51.367
50.574,-47.867
50.549,-44.367
50.527,-40.867
50.524,-37.367
50.490,-33.868
50.467,-30.368
50.317,-27.339
49.425,-23.967
47.586,-21.001
44.978,-18.687
41.832,-17.182
38.389,-16.610
35.313,-16.623
31.813,-16.611
28.313,-16.618
24.813,-16.635
21.612,-16.652
18.112,-16.671
14.612,-16.689
11.112,-16.707
7.612,-16.725
4.112,-16.743
0.612,-16.762
-2.888,-16.780
-6.387,-16.798
-9.887,-16.816
-13.387,-16.834
-16.887,-16.853
-20.367,-16.871
-23.867,-16.889
-27.366,-16.907
-30.866,-16.925
-33.947,-16.943
-37.447,-16.964
-40.947,-16.990
-44.207,-17.016
-47.707,-17.065
-50.752,-17.092
-54.252,-17.114
-57.752,-17.135
-61.252,-17.156
-64.752,-17.178
-68.252,-17.199
-71.752,-17.220
-75.170,-17.247
-78.670,-17.273
-82.170,-17.278
-85.615,-17.283
-89.115,-17.292
-92.615,-17.299
-96.115,-17.307
-99.615,-17.313
-103.115,-17.315
-106.615,-17.320
-110.115,-17.329
-113.615,-17.337
-117.115,-17.337
-120.615,-17.342
-124.011,-17.351
-127.511,-17.363
-131.011,-17.371
-134.511,-17.385
-138.011,-17.396
-141.511,-17.408
-144.552,-17.410
-148.052,-17.403
-151.139,-17.368
-154.596,-16.871
-157.780,-15.452
-160.556,-13.328
-162.553,-10.461
-163.874,-7.227
-164.491,-3.790
-164.477,-0.308
-164.380,3.191
-164.294,6.689
-164.215,10.189
-164.125,13.687
-164.053,17.187
-163.969,20.686
-163.890,24.185
-163.813,27.684
-163.739,31.183
-163.668,34.682
-163.596,38.182
-163.512,41.680
-163.436,45.180
-163.358,48.679
-163.279,52.178
-163.203,55.677
-163.125,59.176
-163.048,62.675
-162.977,66.174
-162.903,69.674
-162.828,73.173
-162.746,76.672
-162.664,80.171
-162.587,83.439
-162.074,86.900
-160.842,90.169
-158.929,93.095
-156.324,95.403
-153.176,96.911
-149.757,97.631
-146.500,97.723
-143.000,97.776
-139.500,97.829
-136.001,97.882
-132.501,97.935
-129.002,97.988
-125.502,98.041
-122.002,98.094
-118.503,98.147
-115.003,98.200
-111.715,98.250
-108.215,98.303
-104.716,98.356
-101.216,98.409
-97.717,98.463
-94.354,98.514
-90.855,98.567
-87.355,98.620
-83.856,98.673
-80.356,98.726
-76.996,98.772
-73.497,98.813
-69.997,98.854
-66.507,99.092
-63.204,100.169
-61.381,102.999
-61.330,106.481
-61.319,109.981
-61.309,113.481
-61.299,116.981
-61.288,120.481
-61.370,123.497
-61.647,126.984
-62.144,130.444
-62.979,133.836
-64.116,137.142
-65.632,140.288
-67.492,143.241
-69.592,146.026
-72.017,148.530
-74.704,150.756
-77.641,152.642
-80.762,154.201
-84.022,155.446
-87.380,156.394
-90.840,156.831
-94.326,156.913
-97.808,156.714
-101.248,156.188
-104.555,155.093
-107.730,153.651
-110.816,152.029
-113.755,150.155
-116.551,148.070
-119.277,145.891
-121.946,143.639
-124.593,141.362
-127.262,139.110
-129.910,136.831
-132.570,134.563
-135.233,132.300
-137.897,130.036
-140.561,127.773
-143.226,125.508
-145.892,123.243
-148.558,120.977
-151.224,118.712
-153.699,116.607
