# x,y  synthetic oval track for ad_autotune
-20.0000,-15.0000
-19.5000,-15.0000
-19.0000,-15.0000
-18.5000,-15.0000
-18.0000,-15.0000
-17.5000,-15.0000
-17.0000,-15.0000
-16.5000,-15.0000
-16.0000,-15.0000
-15.5000,-15.0000
-15.0000,-15.0000
-14.5000,-15.0000
-14.0000,-15.0000
-13.5000,-15.0000
-13.0000,-15.0000
-12.5000,-15.0000
-12.0000,-15.0000
-11.5000,-15.0000
-11.0000,-15.0000
-10.5000,-15.0000
-10.0000,-15.0000
-9.5000,-15.0000
-9.0000,-15.0000
-8.5000,-15.0000
-8.0000,-15.0000
-7.5000,-15.0000
-7.0000,-15.0000
-6.5000,-15.0000
-6.0000,-15.0000
-5.5000,-15.0000
-5.0000,-15.0000
-4.5000,-15.0000
-4.0000,-15.0000
-3.5000,-15.0000
-3.0000,-15.0000
-2.5000,-15.0000
-2.0000,-15.0000
-1.5000,-15.0000
-1.0000,-15.0000
-0.5000,-15.0000
0.0000,-15.0000
0.5000,-15.0000
1.0000,-15.0000
1.5000,-15.0000
2.0000,-15.0000
2.5000,-15.0000
3.0000,-15.0000
3.5000,-15.0000
4.0000,-15.0000
4.5000,-15.0000
5.0000,-15.0000
5.5000,-15.0000
6.0000,-15.0000
6.5000,-15.0000
7.0000,-15.0000
7.5000,-15.0000
8.0000,-15.0000
8.5000,-15.0000
9.0000,-15.0000
9.5000,-15.0000
10.0000,-15.0000
10.5000,-15.0000
11.0000,-15.0000
11.5000,-15.0000
12.0000,-15.0000
12.5000,-15.0000
13.0000,-15.0000
13.5000,-15.0000
14.0000,-15.0000
14.5000,-15.0000
15.0000,-15.0000
15.5000,-15.0000
16.0000,-15.0000
16.5000,-15.0000
17.0000,-15.0000
17.5000,-15.0000
18.0000,-15.0000
18.5000,-15.0000
19.0000,-15.0000
19.5000,-15.0000
20.0000,-15.0000
20.5012,-14.9916
21.0019,-14.9665
21.5014,-14.9247
21.9993,-14.8662
22.4949,-14.7911
22.9878,-14.6994
23.4773,-14.5914
23.9629,-14.4670
24.4441,-14.3265
24.9204,-14.1700
25.3911,-13.9977
25.8558,-13.8097
26.3140,-13.6064
26.7652,-13.3878
27.2087,-13.1542
27.6442,-12.9060
28.0712,-12.6434
28.4892,-12.3666
28.8977,-12.0761
29.2962,-11.7720
29.6844,-11.4548
30.0618,-11.1248
30.4279,-10.7824
30.7824,-10.4279
31.1248,-10.0618
31.4548,-9.6844
31.7720,-9.2962
32.0761,-8.8977
32.3666,-8.4892
32.6434,-8.0712
32.9060,-7.6442
33.1542,-7.2087
33.3878,-6.7652
33.6064,-6.3140
33.8097,-5.8558
33.9977,-5.3911
34.1700,-4.9204
34.3265,-4.4441
34.4670,-3.9629
34.5914,-3.4773
34.6994,-2.9878
34.7911,-2.4949
34.8662,-1.9993
34.9247,-1.5014
34.9665,-1.0019
34.9916,-0.5012
35.0000,0.0000
34.9916,0.5012
34.9665,1.0019
34.9247,1.5014
34.8662,1.9993
34.7911,2.4949
34.6994,2.9878
34.5914,3.4773
34.4670,3.9629
34.3265,4.4441
34.1700,4.9204
33.9977,5.3911
33.8097,5.8558
33.6064,6.3140
33.3878,6.7652
33.1542,7.2087
32.9060,7.6442
32.6434,8.0712
32.3666,8.4892
32.0761,8.8977
31.7720,9.2962
31.4548,9.6844
31.1248,10.0618
30.7824,10.4279
30.4279,10.7824
30.0618,11.1248
29.6844,11.4548
29.2962,11.7720
28.8977,12.0761
28.4892,12.3666
28.0712,12.6434
27.6442,12.9060
27.2087,13.1542
26.7652,13.3878
26.3140,13.6064
25.8558,13.8097
25.3911,13.9977
24.9204,14.1700
24.4441,14.3265
23.9629,14.4670
23.4773,14.5914
22.9878,14.6994
22.4949,14.7911
21.9993,14.8662
21.5014,14.9247
21.0019,14.9665
20.5012,14.9916
20.0000,15.0000
19.5000,15.0000
19.0000,15.0000
18.5000,15.0000
18.0000,15.0000
17.5000,15.0000
17.0000,15.0000
16.5000,15.0000
16.0000,15.0000
15.5000,15.0000
15.0000,15.0000
14.5000,15.0000
14.0000,15.0000
13.5000,15.0000
13.0000,15.0000
12.5000,15.0000
12.0000,15.0000
11.5000,15.0000
11.0000,15.0000
10.5000,15.0000
10.0000,15.0000
9.5000,15.0000
9.0000,15.0000
8.5000,15.0000
8.0000,15.0000
7.5000,15.0000
7.0000,15.0000
6.5000,15.0000
6.0000,15.0000
5.5000,15.0000
5.0000,15.0000
4.5000,15.0000
4.0000,15.0000
3.5000,15.0000
3.0000,15.0000
2.5000,15.0000
2.0000,15.0000
1.5000,15.0000
1.0000,15.0000
0.5000,15.0000
0.0000,15.0000
-0.5000,15.0000
-1.0000,15.0000
-1.5000,15.0000
-2.0000,15.0000
-2.5000,15.0000
-3.0000,15.0000
-3.5000,15.0000
-4.0000,15.0000
-4.5000,15.0000
-5.0000,15.0000
-5.5000,15.0000
-6.0000,15.0000
-6.5000,15.0000
-7.0000,15.0000
-7.5000,15.0000
-8.0000,15.0000
-8.5000,15.0000
-9.0000,15.0000
-9.5000,15.0000
-10.0000,15.0000
-10.5000,15.0000
-11.0000,15.0000
-11.5000,15.0000
-12.0000,15.0000
-12.5000,15.0000
-13.0000,15.0000
-13.5000,15.0000
-14.0000,15.0000
-14.5000,15.0000
-15.0000,15.0000
-15.5000,15.0000
-16.0000,15.0000
-16.5000,15.0000
-17.0000,15.0000
-17.5000,15.0000
-18.0000,15.0000
-18.5000,15.0000
-19.0000,15.0000
-19.5000,15.0000
-20.0000,15.0000
-20.5012,14.9916
-21.0019,14.9665
-21.5014,14.9247
-21.9993,14.8662
-22.4949,14.7911
-22.9878,14.6994
-23.4773,14.5914
-23.9629,14.4670
-24.4441,14.3265
-24.9204,14.1700
-25.3911,13.9977
-25.8558,13.8097
-26.3140,13.6064
-26.7652,13.3878
-27.2087,13.1542
-27.6442,12.9060
-28.0712,12.6434
-28.4892,12.3666
-28.8977,12.0761
-29.2962,11.7720
-29.6844,11.4548
-30.0618,11.1248
-30.4279,10.7824
-30.7824,10.4279
-31.1248,10.0618
-31.4548,9.6844
-31.7720,9.2962
-32.0761,8.8977
-32.3666,8.4892
-32.6434,8.0712
-32.9060,7.6442
-33.1542,7.2087
-33.3878,6.7652
-33.6064,6.3140
-33.8097,5.8558
-33.9977,5.3911
-34.1700,4.9204
-34.3265,4.4441
-34.4670,3.9629
-34.5914,3.4773
-34.6994,2.9878
-34.7911,2.4949
-34.8662,1.9993
-34.9247,1.5014
-34.9665,1.0019
-34.9916,0.5012
-35.0000,0.0000
-34.9916,-0.5012
-34.9665,-1.0019
-34.9247,-1.5014
-34.8662,-1.9993
-34.7911,-2.4949
-34.6994,-2.9878
-34.5914,-3.4773
-34.4670,-3.9629
-34.3265,-4.4441
-34.1700,-4.9204
-33.9977,-5.3911
-33.8097,-5.8558
-33.6064,-6.3140
-33.3878,-6.7652
-33.1542,-7.2087
-32.9060,-7.6442
-32.6434,-8.0712
-32.3666,-8.4892
-32.0761,-8.8977
-31.7720,-9.2962
-31.4548,-9.6844
-31.1248,-10.0618
-30.7824,-10.4279
-30.4279,-10.7824
-30.0618,-11.1248
-29.6844,-11.4548
-29.2962,-11.7720
-28.8977,-12.0761
-28.4892,-12.3666
-28.0712,-12.6434
-27.6442,-12.9060
-27.2087,-13.1542
-26.7652,-13.3878
-26.3140,-13.6064
-25.8558,-13.8097
-25.3911,-13.9977
-24.9204,-14.1700
-24.4441,-14.3265
-23.9629,-14.4670
-23.4773,-14.5914
-22.9878,-14.6994
-22.4949,-14.7911
-21.9993,-14.8662
-21.5014,-14.9247
-21.0019,-14.9665
-20.5012,-14.9916
