t,x,y,v_kph
0.0,7.58,-279.08,0.0
0.05,7.58,-279.08,0.5
0.1,7.59,-279.06,1.0
0.15,7.6,-279.05,1.5
0.2,7.61,-279.02,2.0
0.25,7.63,-278.99,2.5
0.3,7.65,-278.95,3.0
0.35,7.67,-278.91,3.5
0.4,7.7,-278.86,4.0
0.45,7.73,-278.81,4.5
0.5,7.76,-278.75,5.0
0.55,7.8,-278.68,5.5
0.6,7.84,-278.61,6.0
0.65,7.89,-278.53,6.6
0.7,7.93,-278.44,7.1
0.75,7.99,-278.35,7.6
0.8,8.04,-278.25,8.1
0.85,8.1,-278.15,8.6
0.9,8.16,-278.04,9.1
0.95,8.22,-277.92,9.6
1.0,8.29,-277.8,10.1
1.05,8.36,-277.67,10.6
1.1,8.44,-277.53,11.1
1.15,8.52,-277.39,11.6
1.2,8.6,-277.25,12.1
1.25,8.68,-277.09,12.6
1.3,8.77,-276.94,13.1
1.35,8.86,-276.77,13.6
1.4,8.96,-276.6,14.1
1.45,9.06,-276.42,14.6
1.5,9.16,-276.24,15.1
1.55,9.26,-276.05,15.6
1.6,9.37,-275.85,16.1
1.65,9.48,-275.65,16.6
1.7,9.6,-275.44,17.1
1.75,9.72,-275.23,17.6
1.8,9.84,-275.01,18.1
1.85,9.97,-274.78,18.6
1.9,10.1,-274.55,19.2
1.95,10.23,-274.31,19.7
2.0,10.36,-274.07,20.2
2.05,10.5,-273.81,20.7
2.1,10.65,-273.56,21.2
2.15,10.79,-273.29,21.7
2.2,10.94,-273.02,22.2
2.25,11.09,-272.75,22.7
2.3,11.25,-272.47,23.2
2.35,11.41,-272.18,23.7
2.4,11.57,-271.89,24.2
2.45,11.74,-271.59,24.7
2.5,11.91,-271.28,25.2
2.55,12.08,-270.97,25.7
2.6,12.26,-270.65,26.2
2.65,12.44,-270.33,26.7
2.7,12.62,-269.99,27.2
2.75,12.81,-269.66,27.7
2.8,13.0,-269.32,28.2
2.85,13.19,-268.97,28.7
2.9,13.39,-268.61,29.2
2.95,13.59,-268.25,29.7
3.0,13.79,-267.88,30.2
3.05,14.0,-267.51,30.7
3.1,14.21,-267.13,31.2
3.15,14.42,-266.74,31.8
3.2,14.64,-266.35,32.3
3.25,14.86,-265.95,32.8
3.3,15.09,-265.55,33.3
3.35,15.31,-265.14,33.8
3.4,15.55,-264.72,34.3
3.45,15.78,-264.3,34.8
3.5,16.02,-263.87,35.3
3.55,16.26,-263.44,35.8
3.6,16.5,-263.0,36.3
3.65,16.75,-262.55,36.8
3.7,17.0,-262.1,37.3
3.75,17.26,-261.64,37.8
3.8,17.52,-261.17,38.3
3.85,17.78,-260.7,38.8
3.9,18.04,-260.23,39.3
3.95,18.31,-259.74,39.8
4.0,18.58,-259.25,40.3
4.05,18.86,-258.76,40.8
4.1,19.14,-258.26,41.3
4.15,19.42,-257.75,41.8
4.2,19.71,-257.23,42.3
4.25,20.0,-256.71,42.8
4.3,20.29,-256.19,43.3
4.35,20.59,-255.66,43.8
4.4,20.88,-255.12,44.4
4.45,21.19,-254.57,44.9
4.5,21.49,-254.02,45.3
4.55,21.8,-253.47,45.7
4.6,22.11,-252.91,46.1
4.65,22.42,-252.34,46.4
4.7,22.74,-251.78,46.6
4.75,23.05,-251.21,46.8
4.8,23.37,-250.64,47.0
4.85,23.69,-250.07,47.2
4.9,24.01,-249.49,47.3
4.95,24.33,-248.91,47.5
5.0,24.65,-248.34,47.6
5.05,24.97,-247.76,47.6
5.1,25.29,-247.18,47.7
5.15,25.61,-246.6,47.8
5.2,25.93,-246.01,47.9
5.25,26.25,-245.43,47.9
5.3,26.58,-244.85,47.9
5.35,26.9,-244.27,48.0
5.4,27.22,-243.68,48.0
5.45,27.54,-243.1,48.0
5.5,27.87,-242.51,48.1
5.55,28.19,-241.93,48.1
5.6,28.51,-241.35,48.1
5.65,28.84,-240.76,48.1
5.7,29.16,-240.18,48.1
5.75,29.48,-239.59,48.1
5.8,29.8,-239.0,48.1
5.85,30.12,-238.42,48.2
5.9,30.45,-237.83,48.2
5.95,30.77,-237.24,48.2
6.0,31.09,-236.66,48.2
6.05,31.4,-236.07,48.2
6.1,31.72,-235.48,48.2
6.15,32.04,-234.89,48.2
6.2,32.35,-234.3,48.2
6.25,32.67,-233.7,48.2
6.3,32.98,-233.11,48.2
6.35,33.29,-232.52,48.2
6.4,33.59,-231.92,48.2
6.45,33.9,-231.33,48.2
6.5,34.2,-230.73,48.2
6.55,34.5,-230.13,48.2
6.6,34.8,-229.53,48.2
6.65,35.1,-228.93,48.2
6.7,35.39,-228.33,48.2
6.75,35.68,-227.73,48.2
6.8,35.97,-227.12,48.2
6.85,36.26,-226.52,48.2
6.9,36.54,-225.91,48.2
6.95,36.82,-225.3,48.2
7.0,37.1,-224.7,48.2
7.05,37.38,-224.09,48.2
7.1,37.65,-223.48,48.2
7.15,37.92,-222.86,48.2
7.2,38.19,-222.25,48.2
7.25,38.46,-221.64,48.2
7.3,38.72,-221.02,48.2
7.35,38.98,-220.4,48.2
7.4,39.24,-219.79,48.2
7.45,39.49,-219.17,48.2
7.5,39.75,-218.55,48.2
7.55,40.0,-217.93,48.2
7.6,40.25,-217.3,48.2
7.65,40.49,-216.68,48.2
7.7,40.74,-216.06,48.2
7.75,40.98,-215.43,48.2
7.8,41.22,-214.81,48.2
7.85,41.45,-214.18,48.2
7.9,41.68,-213.55,48.2
7.95,41.91,-212.92,48.2
8.0,42.14,-212.29,48.2
8.05,42.37,-211.66,48.2
8.1,42.59,-211.03,48.2
8.15,42.81,-210.4,48.2
8.2,43.02,-209.77,48.2
8.25,43.24,-209.13,48.2
8.3,43.45,-208.49,48.2
8.35,43.65,-207.86,48.2
8.4,43.86,-207.22,48.2
8.45,44.06,-206.58,48.2
8.5,44.26,-205.94,48.2
8.55,44.45,-205.3,48.2
8.6,44.65,-204.66,48.2
8.65,44.84,-204.02,48.2
8.7,45.02,-203.38,48.2
8.75,45.21,-202.73,48.2
8.8,45.39,-202.09,48.2
8.85,45.56,-201.44,48.2
8.9,45.74,-200.8,48.2
8.95,45.91,-200.15,48.2
9.0,46.08,-199.5,48.2
9.05,46.24,-198.85,48.2
9.1,46.41,-198.2,48.2
9.15,46.57,-197.55,48.2
9.2,46.72,-196.9,48.2
9.25,46.88,-196.25,48.2
9.3,47.03,-195.6,48.2
9.35,47.18,-194.94,48.2
9.4,47.32,-194.29,48.2
9.45,47.47,-193.64,48.2
9.5,47.61,-192.98,48.2
9.55,47.74,-192.33,48.2
9.6,47.88,-191.67,48.2
9.65,48.01,-191.01,48.2
9.7,48.14,-190.36,48.2
9.75,48.26,-189.7,48.2
9.8,48.39,-189.04,48.2
9.85,48.51,-188.38,48.2
9.9,48.63,-187.72,48.2
9.95,48.74,-187.06,48.2
10.0,48.86,-186.4,48.2
10.05,48.97,-185.74,48.2
10.1,49.07,-185.08,48.2
10.15,49.18,-184.42,48.2
10.2,49.28,-183.76,48.2
10.25,49.38,-183.1,48.2
10.3,49.47,-182.43,48.2
10.35,49.56,-181.77,48.2
10.4,49.65,-181.11,48.2
10.45,49.74,-180.44,48.2
10.5,49.82,-179.78,48.2
10.55,49.9,-179.11,48.2
10.6,49.98,-178.45,48.2
10.65,50.06,-177.78,48.2
10.7,50.13,-177.12,48.2
10.75,50.19,-176.45,48.2
10.8,50.26,-175.78,48.2
10.85,50.32,-175.12,48.2
10.9,50.38,-174.45,48.2
10.95,50.43,-173.78,48.2
11.0,50.48,-173.12,48.2
11.05,50.53,-172.45,48.2
11.1,50.58,-171.78,48.2
11.15,50.62,-171.11,48.2
11.2,50.66,-170.44,48.2
11.25,50.7,-169.78,48.2
11.3,50.74,-169.11,48.2
11.35,50.77,-168.44,48.2
11.4,50.8,-167.77,48.2
11.45,50.83,-167.1,48.2
11.5,50.85,-166.43,48.2
11.55,50.87,-165.76,48.2
11.6,50.89,-165.09,48.2
11.65,50.91,-164.42,48.2
11.7,50.93,-163.75,48.2
11.75,50.94,-163.08,48.2
11.8,50.95,-162.41,48.2
11.85,50.96,-161.75,48.2
11.9,50.97,-161.08,48.2
