t,x,y,v_kph
0.0,-20.0,-15.0,0.0
0.05,-19.99,-15.0,0.5
0.1,-19.98,-15.0,1.0
0.15,-19.96,-15.0,1.5
0.2,-19.93,-15.0,2.0
0.25,-19.89,-15.0,2.5
0.3,-19.85,-15.0,3.0
0.35,-19.8,-15.0,3.5
0.4,-19.75,-15.0,4.0
0.45,-19.68,-15.0,4.5
0.5,-19.61,-15.0,5.0
0.55,-19.54,-15.0,5.5
0.6,-19.45,-15.0,6.0
0.65,-19.36,-15.0,6.6
0.7,-19.26,-15.0,7.1
0.75,-19.16,-15.0,7.6
0.8,-19.05,-15.0,8.1
0.85,-18.93,-15.0,8.6
0.9,-18.8,-15.0,9.1
0.95,-18.67,-15.0,9.6
1.0,-18.53,-15.0,10.1
1.05,-18.38,-15.0,10.6
1.1,-18.23,-15.0,11.1
1.15,-18.07,-15.0,11.6
1.2,-17.9,-15.0,12.1
1.25,-17.72,-15.0,12.6
1.3,-17.54,-15.0,13.1
1.35,-17.35,-15.0,13.6
1.4,-17.16,-15.0,14.1
1.45,-16.95,-15.0,14.6
1.5,-16.74,-15.0,15.1
1.55,-16.53,-15.0,15.6
1.6,-16.3,-15.0,16.1
1.65,-16.07,-15.0,16.6
1.7,-15.83,-15.0,17.1
1.75,-15.59,-15.0,17.6
1.8,-15.34,-15.0,18.1
1.85,-15.08,-15.0,18.6
1.9,-14.81,-15.0,19.2
1.95,-14.54,-15.0,19.7
2.0,-14.26,-15.0,20.2
2.05,-13.97,-15.0,20.7
2.1,-13.68,-15.0,21.2
2.15,-13.38,-15.0,21.7
2.2,-13.07,-15.0,22.2
2.25,-12.75,-15.0,22.7
2.3,-12.43,-15.0,23.2
2.35,-12.1,-15.0,23.7
2.4,-11.77,-15.0,24.2
2.45,-11.42,-15.0,24.7
2.5,-11.07,-15.0,25.2
2.55,-10.72,-15.0,25.7
2.6,-10.35,-15.0,26.2
2.65,-9.98,-15.0,26.7
2.7,-9.61,-15.0,27.2
2.75,-9.22,-15.0,27.7
2.8,-8.83,-15.0,28.2
2.85,-8.43,-15.0,28.7
2.9,-8.02,-15.0,29.2
2.95,-7.61,-15.0,29.7
3.0,-7.19,-15.0,30.2
3.05,-6.76,-15.0,30.7
3.1,-6.33,-15.0,31.2
3.15,-5.89,-15.0,31.8
3.2,-5.44,-15.0,32.3
3.25,-4.99,-15.0,32.8
3.3,-4.52,-15.0,33.3
3.35,-4.05,-15.0,33.8
3.4,-3.58,-15.0,34.3
3.45,-3.1,-15.0,34.8
3.5,-2.61,-15.0,35.3
3.55,-2.11,-15.0,35.8
3.6,-1.6,-15.0,36.3
3.65,-1.09,-15.0,36.8
3.7,-0.58,-15.0,37.3
3.75,-0.05,-15.0,37.8
3.8,0.48,-15.0,38.3
3.85,1.02,-15.0,38.8
3.9,1.57,-15.0,39.3
3.95,2.12,-15.0,39.8
4.0,2.68,-15.0,40.3
4.05,3.25,-15.0,40.8
4.1,3.82,-15.0,41.3
4.15,4.4,-15.0,41.8
4.2,4.99,-15.0,42.3
4.25,5.58,-15.0,42.8
4.3,6.19,-15.0,43.3
4.35,6.8,-15.0,43.8
4.4,7.41,-15.0,44.2
4.45,8.03,-15.0,44.5
4.5,8.65,-15.0,44.8
4.55,9.27,-15.0,45.0
4.6,9.9,-15.0,45.1
4.65,10.53,-15.0,45.3
4.7,11.16,-15.0,45.4
4.75,11.79,-15.01,45.4
4.8,12.42,-15.01,45.5
4.85,13.06,-15.02,45.6
4.9,13.69,-15.02,45.6
4.95,14.32,-15.02,45.6
5.0,14.96,-15.02,45.7
5.05,15.59,-15.01,45.7
5.1,16.23,-14.99,45.7
5.15,16.86,-14.96,45.7
5.2,17.49,-14.93,45.7
5.25,18.13,-14.88,45.7
5.3,18.76,-14.81,45.8
5.35,19.39,-14.73,45.8
5.4,20.02,-14.64,45.8
5.45,20.64,-14.53,45.8
5.5,21.27,-14.39,45.8
5.55,21.88,-14.24,45.8
5.6,22.5,-14.07,45.8
5.65,23.1,-13.88,45.8
5.7,23.7,-13.67,45.8
5.75,24.29,-13.43,45.8
5.8,24.87,-13.17,45.8
5.85,25.45,-12.9,45.8
5.9,26.01,-12.59,45.8
5.95,26.55,-12.27,45.8
6.0,27.09,-11.93,45.8
6.05,27.61,-11.56,45.8
6.1,28.11,-11.17,45.8
6.15,28.6,-10.76,45.8
6.2,29.07,-10.33,45.8
6.25,29.52,-9.88,45.8
6.3,29.95,-9.41,45.8
6.35,30.35,-8.93,45.8
6.4,30.74,-8.42,45.8
6.45,31.11,-7.9,45.8
6.5,31.45,-7.37,45.8
6.55,31.76,-6.81,45.8
6.6,32.06,-6.25,45.8
6.65,32.32,-5.67,45.8
6.7,32.56,-5.08,45.8
6.75,32.77,-4.48,45.8
6.8,32.96,-3.87,45.8
6.85,33.12,-3.26,45.8
6.9,33.24,-2.64,45.8
6.95,33.34,-2.01,45.8
7.0,33.42,-1.38,45.8
7.05,33.46,-0.74,45.8
7.1,33.47,-0.11,45.8
7.15,33.45,0.53,45.8
7.2,33.4,1.16,45.8
7.25,33.33,1.8,45.8
7.3,33.22,2.42,45.8
7.35,33.09,3.04,45.8
7.4,32.92,3.66,45.8
7.45,32.73,4.26,45.8
7.5,32.51,4.86,45.8
7.55,32.26,5.45,45.8
7.6,31.99,6.02,45.8
7.65,31.68,6.58,45.8
7.7,31.35,7.12,45.8
7.75,31.0,7.65,45.8
7.8,30.62,8.16,45.8
7.85,30.22,8.66,45.8
7.9,29.8,9.13,45.8
7.95,29.35,9.58,45.8
8.0,28.88,10.01,45.8
8.05,28.4,10.42,45.8
8.1,27.89,10.81,45.8
8.15,27.37,11.18,45.8
8.2,26.84,11.52,45.8
8.25,26.29,11.84,45.8
8.3,25.73,12.15,45.8
8.35,25.16,12.43,45.8
8.4,24.58,12.69,45.8
8.45,23.99,12.93,45.8
8.5,23.39,13.15,45.8
8.55,22.79,13.36,45.8
8.6,22.18,13.54,45.8
8.65,21.57,13.71,45.8
8.7,20.95,13.87,45.8
8.75,20.33,14.01,45.8
8.8,19.71,14.13,45.8
8.85,19.09,14.24,45.8
8.9,18.46,14.34,45.8
8.95,17.83,14.43,45.8
9.0,17.2,14.51,45.8
9.05,16.56,14.58,45.8
9.1,15.93,14.65,45.8
9.15,15.3,14.7,45.8
9.2,14.66,14.75,45.8
9.25,14.03,14.79,45.8
9.3,13.4,14.83,45.8
9.35,12.76,14.86,45.8
9.4,12.12,14.88,45.8
9.45,11.49,14.91,45.8
9.5,10.85,14.93,45.8
9.55,10.22,14.94,45.8
9.6,9.58,14.96,45.8
9.65,8.95,14.97,45.8
9.7,8.31,14.98,45.8
9.75,7.67,14.99,45.8
9.8,7.04,14.99,45.8
9.85,6.4,15.0,45.8
9.9,5.77,15.0,45.8
9.95,5.13,15.01,45.8
10.0,4.5,15.01,45.8
10.05,3.86,15.01,45.8
10.1,3.22,15.01,45.8
10.15,2.59,15.01,45.8
10.2,1.95,15.01,45.8
10.25,1.32,15.01,45.8
10.3,0.68,15.01,45.8
10.35,0.04,15.01,45.8
10.4,-0.59,15.01,45.8
10.45,-1.23,15.01,45.8
10.5,-1.86,15.01,45.8
10.55,-2.5,15.01,45.8
10.6,-3.14,15.01,45.8
10.65,-3.77,15.01,45.8
10.7,-4.41,15.01,45.8
10.75,-5.04,15.01,45.8
10.8,-5.68,15.01,45.8
10.85,-6.32,15.01,45.8
10.9,-6.95,15.01,45.8
10.95,-7.59,15.01,45.8
11.0,-8.22,15.0,45.8
11.05,-8.86,15.0,45.8
11.1,-9.49,15.0,45.8
11.15,-10.13,15.0,45.8
11.2,-10.77,15.0,45.8
11.25,-11.4,15.01,45.8
11.3,-12.04,15.01,45.8
11.35,-12.67,15.01,45.8
11.4,-13.31,15.02,45.8
11.45,-13.95,15.02,45.8
11.5,-14.58,15.02,45.8
11.55,-15.22,15.01,45.8
11.6,-15.85,15.0,45.8
11.65,-16.49,14.98,45.8
11.7,-17.12,14.95,45.8
11.75,-17.76,14.91,45.8
11.8,-18.39,14.85,45.8
11.85,-19.02,14.78,45.8
11.9,-19.65,14.7,45.8
11.95,-20.28,14.59,45.8
12.0,-20.91,14.47,45.8
12.05,-21.53,14.33,45.8
12.1,-22.14,14.17,45.8
12.15,-22.75,13.99,45.8
12.2,-23.36,13.79,45.8
12.25,-23.95,13.57,45.8
12.3,-24.54,13.33,45.8
12.35,-25.12,13.06,45.8
12.4,-25.68,12.77,45.8
12.45,-26.24,12.46,45.8
12.5,-26.78,12.13,45.8
12.55,-27.31,11.77,45.8
12.6,-27.82,11.4,45.8
12.65,-28.32,11.0,45.8
12.7,-28.8,10.58,45.8
12.75,-29.26,10.14,45.8
12.8,-29.7,9.69,45.8
12.85,-30.12,9.21,45.8
12.9,-30.52,8.72,45.8
12.95,-30.9,8.21,45.8
13.0,-31.25,7.68,45.8
13.05,-31.58,7.13,45.8
13.1,-31.89,6.58,45.8
13.15,-32.17,6.01,45.8
13.2,-32.43,5.42,45.8
13.25,-32.65,4.83,45.8
13.3,-32.86,4.23,45.8
13.35,-33.03,3.62,45.8
13.4,-33.17,3.0,45.8
13.45,-33.29,2.37,45.8
13.5,-33.38,1.74,45.8
13.55,-33.44,1.11,45.8
13.6,-33.47,0.47,45.8
13.65,-33.47,-0.16,45.8
13.7,-33.44,-0.8,45.8
13.75,-33.38,-1.43,45.8
13.8,-33.29,-2.06,45.8
13.85,-33.17,-2.69,45.8
13.9,-33.02,-3.3,45.8
13.95,-32.84,-3.92,45.8
14.0,-32.64,-4.52,45.8
14.05,-32.41,-5.11,45.8
14.1,-32.15,-5.69,45.8
14.15,-31.86,-6.26,45.8
14.2,-31.55,-6.81,45.8
14.25,-31.21,-7.35,45.8
14.3,-30.85,-7.87,45.8
14.35,-30.46,-8.37,45.8
14.4,-30.05,-8.86,45.8
14.45,-29.61,-9.32,45.8
14.5,-29.16,-9.77,45.8
14.55,-28.68,-10.19,45.8
14.6,-28.19,-10.59,45.8
14.65,-27.68,-10.97,45.8
14.7,-27.15,-11.33,45.8
14.75,-26.61,-11.66,45.8
14.8,-26.06,-11.97,45.8
14.85,-25.49,-12.27,45.8
14.9,-24.92,-12.54,45.8
14.95,-24.33,-12.79,45.8
15.0,-23.74,-13.03,45.8
15.05,-23.14,-13.24,45.8
15.1,-22.54,-13.44,45.8
15.15,-21.93,-13.62,45.8
15.2,-21.31,-13.78,45.8
15.25,-20.7,-13.93,45.8
15.3,-20.07,-14.06,45.8
