t,x,y,v_kph
0.0,-9.0,-6.0,0.0
0.05,-8.99,-6.0,0.5
0.1,-8.98,-6.0,1.0
0.15,-8.96,-6.0,1.5
0.2,-8.93,-6.0,2.0
0.25,-8.89,-6.0,2.5
0.3,-8.85,-6.0,3.0
0.35,-8.8,-6.0,3.5
0.4,-8.75,-6.0,4.0
0.45,-8.69,-6.0,4.5
0.5,-8.62,-6.0,5.0
0.55,-8.54,-6.0,5.5
0.6,-8.45,-6.0,6.0
0.65,-8.36,-6.0,6.6
0.7,-8.27,-6.0,7.1
0.75,-8.16,-6.0,7.6
0.8,-8.05,-6.0,8.1
0.85,-7.93,-6.0,8.6
0.9,-7.8,-6.0,9.1
0.95,-7.67,-6.0,9.6
1.0,-7.53,-6.0,10.1
1.05,-7.38,-6.0,10.6
1.1,-7.23,-6.0,11.1
1.15,-7.07,-6.0,11.6
1.2,-6.9,-6.0,12.1
1.25,-6.72,-6.0,12.6
1.3,-6.54,-6.0,13.1
1.35,-6.35,-6.0,13.6
1.4,-6.16,-6.0,14.1
1.45,-5.95,-6.0,14.6
1.5,-5.74,-6.0,15.1
1.55,-5.53,-6.0,15.6
1.6,-5.3,-6.0,16.1
1.65,-5.07,-6.0,16.6
1.7,-4.83,-6.0,17.1
1.75,-4.59,-6.0,17.6
1.8,-4.34,-6.0,18.1
1.85,-4.08,-6.0,18.6
1.9,-3.81,-6.0,19.2
1.95,-3.54,-6.0,19.7
2.0,-3.26,-6.0,20.2
2.05,-2.97,-6.0,20.7
2.1,-2.68,-6.0,21.2
2.15,-2.38,-6.0,21.7
2.2,-2.07,-6.0,22.2
2.25,-1.76,-6.0,22.7
2.3,-1.43,-6.0,23.2
2.35,-1.1,-6.0,23.7
2.4,-0.77,-6.0,24.2
2.45,-0.43,-6.0,24.7
2.5,-0.08,-6.0,25.2
2.55,0.28,-6.0,25.7
2.6,0.65,-6.0,26.2
2.65,1.02,-6.0,26.7
2.7,1.39,-6.0,27.2
2.75,1.78,-6.0,27.7
2.8,2.17,-6.0,28.2
2.85,2.57,-6.0,28.7
2.9,2.98,-6.0,29.2
2.95,3.39,-6.0,29.7
3.0,3.81,-6.0,30.2
3.05,4.24,-6.0,30.7
3.1,4.67,-6.0,31.2
3.15,5.11,-6.0,31.8
3.2,5.56,-5.99,32.3
3.25,6.01,-5.98,32.8
3.3,6.48,-5.95,33.3
3.35,6.94,-5.91,33.8
3.4,7.42,-5.86,34.3
3.45,7.89,-5.78,34.8
3.5,8.37,-5.67,35.3
3.55,8.85,-5.54,35.8
3.6,9.33,-5.37,36.3
3.65,9.8,-5.17,36.8
3.7,10.26,-4.94,37.3
3.75,10.71,-4.67,37.8
3.8,11.13,-4.35,38.3
3.85,11.54,-3.99,38.8
3.9,11.91,-3.59,39.3
3.95,12.24,-3.15,39.8
4.0,12.53,-2.67,40.3
4.05,12.78,-2.16,40.8
4.1,12.96,-1.62,41.3
4.15,13.08,-1.05,41.8
4.2,13.13,-0.46,42.3
4.25,13.1,0.13,42.8
4.3,13.0,0.72,43.3
4.35,12.8,1.3,43.8
4.4,12.52,1.85,44.4
4.45,12.16,2.36,44.9
4.5,11.73,2.81,45.4
4.55,11.22,3.2,45.9
4.6,10.67,3.54,46.4
4.65,10.09,3.82,46.7
4.7,9.48,4.06,47.0
4.75,8.86,4.27,47.3
4.8,8.22,4.44,47.5
4.85,7.58,4.59,47.6
4.9,6.93,4.73,47.7
4.95,6.28,4.84,47.8
5.0,5.62,4.94,47.9
5.05,4.96,5.02,48.0
5.1,4.29,5.1,48.0
5.15,3.63,5.17,48.1
5.2,2.96,5.22,48.1
5.25,2.3,5.28,48.1
5.3,1.63,5.33,48.2
5.35,0.96,5.37,48.2
5.4,0.29,5.41,48.2
5.45,-0.38,5.44,48.2
5.5,-1.05,5.48,48.2
5.55,-1.71,5.51,48.2
5.6,-2.38,5.53,48.2
5.65,-3.05,5.56,48.2
5.7,-3.72,5.58,48.2
5.75,-4.39,5.61,48.3
5.8,-5.06,5.63,48.3
5.85,-5.73,5.63,48.3
5.9,-6.4,5.62,48.3
5.95,-7.07,5.58,48.3
6.0,-7.74,5.5,48.3
6.05,-8.39,5.37,48.3
6.1,-9.04,5.19,48.3
6.15,-9.67,4.96,48.3
6.2,-10.27,4.66,48.3
6.25,-10.84,4.31,48.3
6.3,-11.37,3.9,48.3
6.35,-11.84,3.42,48.3
6.4,-12.24,2.88,48.3
6.45,-12.56,2.29,48.3
6.5,-12.81,1.67,48.3
6.55,-12.96,1.02,48.3
6.6,-13.01,0.35,48.3
6.65,-12.96,-0.32,48.3
6.7,-12.8,-0.97,48.3
6.75,-12.54,-1.59,48.3
6.8,-12.19,-2.16,48.3
6.85,-11.74,-2.66,48.3
6.9,-11.22,-3.08,48.3
6.95,-10.66,-3.44,48.3
7.0,-10.06,-3.74,48.3
7.05,-9.43,-3.99,48.3
7.1,-8.8,-4.2,48.3
