trial,lookahead,target_velocity_kph,gain_k,pid_kp,completed,driving_score,time_s,progress,penalty,max_cte,objective
0,3.000,20.00,0.500,0.300,0,100.0,180.00,0.701,0.0,2.23,-929902.4
1,3.000,30.00,0.500,0.400,0,95.0,180.00,0.342,5.0,2.53,-965801.3
2,3.000,30.00,1.500,0.400,1,100.0,168.40,1.000,0.0,2.09,1099831.6
3,3.000,48.00,0.500,0.400,0,100.0,180.00,0.139,0.0,2.62,-986100.5
4,3.000,48.00,1.500,0.400,1,100.0,106.00,1.000,0.0,2.59,1099894.0
5,6.000,30.00,0.500,0.400,0,100.0,180.00,0.135,0.0,3.40,-986500.4
6,6.000,30.00,1.500,0.400,0,100.0,180.00,0.943,0.0,2.28,-905700.9
7,6.000,48.00,0.500,0.400,0,100.0,180.00,0.135,0.0,4.51,-986500.7
8,6.000,48.00,1.500,0.400,1,100.0,105.65,1.000,0.0,3.14,1099894.4
9,6.000,48.00,1.500,0.400,1,100.0,105.65,1.000,0.0,3.14,1099894.4
10,7.275,48.00,1.500,0.400,0,95.0,180.00,0.847,5.0,3.66,-915302.2
11,4.725,48.00,1.500,0.400,1,100.0,105.70,1.000,0.0,2.70,1099894.3
12,6.000,54.75,1.500,0.400,0,0.0,180.00,0.295,130.0,2.26,-970500.8
13,6.000,41.25,1.500,0.400,1,100.0,140.70,1.000,0.0,2.64,1099859.3
14,6.000,48.00,2.085,0.400,1,100.0,106.30,1.000,0.0,2.28,1099893.7
15,6.000,48.00,0.915,0.400,0,100.0,180.00,0.137,0.0,3.41,-986300.4
16,6.000,48.00,1.500,0.535,0,100.0,180.00,0.851,0.0,3.15,-914902.2
17,6.000,48.00,1.500,0.265,1,100.0,105.80,1.000,0.0,3.13,1099894.2
18,6.638,48.00,1.500,0.400,0,95.0,180.00,0.851,5.0,3.49,-914902.2
19,5.362,48.00,1.500,0.400,1,100.0,105.65,1.000,0.0,2.99,1099894.4
20,6.000,51.38,1.500,0.400,0,0.0,180.00,0.345,160.0,3.48,-965501.1
21,6.000,44.62,1.500,0.400,1,100.0,113.50,1.000,0.0,2.93,1099886.5
22,6.000,48.00,1.792,0.400,1,100.0,106.00,1.000,0.0,2.63,1099894.0
23,6.000,48.00,1.208,0.400,0,100.0,180.00,0.139,0.0,2.53,-986100.4
24,6.000,48.00,1.500,0.468,0,100.0,180.00,0.851,0.0,3.22,-914902.1
